eng_id	english	toki_id	toki_pona
5807216	A bank robbery took place here three days ago.	10280281	suno tu wan pini la lanpan pi tomo mani li lon ni.
9974074	She hates mushrooms.	10647815	soko li ike mute tawa ona.
6037290	What is this mushroom?	10647823	soko ni li seme?
7030731	This mushroom is poisonous.	10647824	soko ni li jaki tawa sijelo.
7192326	These mushrooms are poisonous.	10647826	soko mute ni li jaki tawa sijelo.
7192326	These mushrooms are poisonous.	10647824	soko ni li jaki tawa sijelo.
7932085	It's a mushroom.	10647827	ona li soko.
8984138	Is that a mushroom?	10647829	ni li soko anu seme?
10647868	I don't have the Toki Pona Dictionary.	10647869	mi jo ala e lipu ku.
5948224	It's a fungus.	10647827	ona li soko.
3525062	Her story cannot be a lie.	10715476	lipu ona li ken ala powe.
3902464	The witch resurrected the monster.	10740441	meli usawi li lon sin e monsuta.
7192326	These mushrooms are poisonous.	10740482	soko ni li ike tawa sijelo.
10741013	Is this mushroom poisonous?	10741010	soko ni li ike ala ike tawa sijelo?
10741014	Is this mushroom bad for your body?	10741010	soko ni li ike ala ike tawa sijelo?
10741039	This room echoes a lot.	10741030	tomo ni la kalama li jasima mute.
10741087	Whoa, weird!	10741084	wa, nasa a!
10741088	Whoa, that's weird!	10741084	wa, nasa a!
1522255	He's a liar.	9702365	ona li jan powe.
3668944	He is a liar.	9702365	ona li jan powe.
6179406	She's a liar.	9702365	ona li jan powe.
10742075	She is a liar.	9702365	ona li jan powe.
3331018	You can't fool me.	9331471	sina ken ala powe e mi.
10770943	Break free from the chains that bind you!	10770959	o weka tan linja ni: ona li pake e sina!
5937119	You're way too old to be doing this.	10774840	sina ken ala palie ni tan ni: nanpa sike sina li mute.
10812596	What's in the black box?	10812948	seme li lon insa pi loki pimeja?
2724519	But I am not like other boys! I am better than all of them and I always tell the truth. I promise you, Father, that I'll learn a trade, and I'll be the comfort and staff of your old age.	10834816	taso mi sama ala e jan mije ante a! mi pona mute poka ona ale. tenpo ale la, mi toki e toki lon. mama mi o, mi wile e ni: mi kama sona e pali la, mi pali e tenpo majuna sina pona en suwi.
7408810	They admitted that they'd lied to me.	10836110	ona mute li toki e ni: ona li powe e mi.
10890891	The raccoon drinks water.	10890890	kijetesantakalu li moku e telo.
9012708	The otter features in mythology and folklore across the world.	10901336	kijetesantakalu telo li lon toki sewi pi ma mute.
10992868	I am not a man, a woman, or non-binary.	10992867	kule mi li mije ala li meli ala li tonsi ala.
3525660	Try and come up with a more reasonable excuse next time.	10992921	tenpo kama la o alasa isipin e toki pi weka apeja pi pona mute.
285184	Grab him.	10992952	o lanpan e ona.
1972635	Grab that.	10992955	o lanpan e ni.
1972637	Grab this.	10992955	o lanpan e ni.
5069240	Grab him!	10992961	o lanpan e ona!
7895129	That's funny, I seem to have an audio recording of you telling me the exact opposite is true.	10992984	n, tawa lukin la mi jo e lipu. ona la sina toki e ni: ni li lon ala.
6128549	Take this suitcase.	10995543	o lanpan e poki ni.
56582	This medicine will take the pain away.	10996661	misikeke ni li weka e pilin ike.
1924560	I'm old.	10996891	mi majuna.
10996990	I'm going to the hospital because my stomach hurts.	10996994	insa mi li ike la mi tawa tomo misikeke.
10996991	I have a stomachache, so I'm going to the hospital.	10996994	insa mi li ike la mi tawa tomo misikeke.
275075	The sun sank below the horizon.	11011544	sun li kama anpa li tawa anpa pi linja pi pini lukin.
275076	The sun rose above the horizon.	11011548	sun li tawa sewi li kama tawa sewi pi linja pi pini lukin.
450106	Clean the mirror.	11047380	o weka e ko tan sinpin jasima.
8350735	The mirror broke.	11047385	ilo jasima li kama pakala.
7941454	Wash the mirror.	11047397	o telo e sinpin jasima.
9964770	My mirror broke.	11047408	sinpin jasima mi li kama pakala.
18924	A mirror reflects light.	11047447	sinpin jasima li jasima e suno.
2648072	Look in the mirror.	11047512	o lukin e sinpin jasima.
3410263	I like your mirror.	11047521	sinpin jasima sina li pona tawa mi.
4355196	Where's the mirror?	11047550	ilo jasima li lon seme?
18923	Don't break a mirror.	11047557	o pakala ala e sinpin jasima.
4379925	I walked into a mirror.	11047590	mi tawa insa pi sinpin jasima.
6818615	The mirror is very dirty.	11047736	sinpin jasima li jaki mute.
9385008	The mirror is fogged up.	11047806	kon telo li lon sinpin jasima.
883001	A broken mirror brings bad luck.	11047867	ilo jasima li kama pakala la ona li kama e pali ike.
1503467	Kid, don't touch the mirror!	11047871	jan lili o luka ala e sinpin jasima!
3259473	Hang the mirror on the wall.	11047901	o pana e ilo jasima lon sinpin.
2252637	There's a mirror.	11047907	ilo jasima li lon.
264726	Look at yourself in the mirror.	11048282	o lukin e sina lon ilo jasima.
1600153	The mirror is on top of the dresser.	11048387	ilo jasima li lon sewi supa.
10011020	Don't argue with a mirror.	11048555	sina en sinpin jasima o utala toki ala.
1442254	She stood in front of the mirror.	11048609	ona li lon sinpin pi ilo jasima.
5073781	Price reflects demand.	11048849	mani li jasima e wile.
24420	The price reflects the demand.	11048849	mani li jasima e wile.
2280870	I like your mirrors.	11048969	ilo jasima sina li pona tawa mi.
1885161	The department of Legal Medicine Research is trying to ascertain the cause of today's conflagration.	11072190	kulupu pi sona misikeke lawa li wile sona e ni: tenpo suno ni la, seli suli li kama tan seme?
9320891	Hmm, yes, the floor here is made out of floor.	11099026	n, lon, supa ni li tan supa.
9764363	That's a cool tattoo.	11112113	sitelen selo ni li epiku.
7442770	They think they know everything.	11112787	ona isipin e ni: ona li sona ale.
11143767	A compromise is the art of dividing a cake so that everybody thinks they got the biggest piece.	11146998	anu meso li nasin musi ni: sina lili e pan suwi. nasin ni la jan ale li pilin e ni: lili pi jan ante li lili. lili ona li suli.
2867260	How can mirrors be real if our eyes aren't real?	11220495	lukin mi li lon ala la, tan seme la ilo jasima li lon?
1345008	I hate raccoons.	11236934	kijetesantakalu li ike tawa mi.
3821278	I want a raccoon.	11236935	mi wile e kijetesantakalu.
5992359	Raccoons are very smart.	11236936	kijetesantakalu li jo e sona mute.
10728508	Raccoons are people too!	11236940	kijetesantakalu li jan!
11077403	Raccoons are so big!	11236941	kijetesantakalu li suli mute!
693563	Do you see the raccoon?	11236942	sina lukin ala lukin e kijetesantakalu?
10109597	We found some baby raccoons.	11236945	mi mute li kama jo e kijetesantakalu lili.
10457502	Does this zoo have raccoons?	11236946	ma pi soweli mute li jo e kijetesantakalu anu seme?
10450251	There are raccoons at the zoo.	11236947	kijetesantakalu li lon ma pi soweli mute.
8319154	There is a dead raccoon in there.	11236949	kijetesantakalu moli li lon ni.
10533596	The raccoon sits on the top of the tree.	11236950	kijetesantakalu li lon kasi suli.
11236951	The good raccoon made a strong noise.	10740933	kijetesantakalu pona li mu wawa.
2833963	Steal money.	11236952	o lanpan e mani.
10674807	Thieves steal.	11236953	jan lanpan li lanpan.
1795649	Stealing is wrong.	11236954	lanpan li ike.
1802604	It's stealing.	11236955	ona li lanpan.
2698822	Steal the money.	11236952	o lanpan e mani.
2868222	I steal stuff.	11236957	mi lanpan e ijo.
2868231	He steals stuff.	11236958	ona li lanpan e ijo.
2868233	She steals stuff.	11236958	ona li lanpan e ijo.
2868237	We steal stuff.	11236960	mi mute li lanpan e ijo.
2868239	They steal stuff.	11236958	ona li lanpan e ijo.
8510177	He's stealing.	11236955	ona li lanpan.
9631961	They were stealing.	11236955	ona li lanpan.
9688014	Do not steal!	11236965	o lanpan ala!
11220149	Stealing is bad!	11236966	lanpan li ike!
11220212	Stealing is bad.	11236954	lanpan li ike.
2245726	I don't steal.	11236967	mi lanpan ala.
2248702	Isn't that stealing?	11236968	ni li lanpan anu seme?
3408707	Did you steal this?	11236970	sina lanpan e ni anu seme?
3820602	What did you steal?	11236971	sina lanpan e seme?
5242731	I still steal steel.	11236972	mi lanpan e kiwen.
5366344	Did you steal it?	11236973	sina lanpan e ona anu seme?
5554894	Did you steal them?	11236973	sina lanpan e ona anu seme?
5850540	I sometimes steal stuff.	11236974	ken la mi lanpan e ijo.
9007743	You shall not steal.	11236977	sina ken ala lanpan.
1652295	I didn't steal it.	11236978	mi lanpan ala e ona.
2271762	I didn't steal anything.	11236981	mi lanpan ala e ijo ale.
2544365	I wasn't stealing anything.	11236981	mi lanpan ala e ijo ale.
3731465	Did you steal that car?	11236982	sina lanpan ala lanpan e tomo tawa ni?
3820102	Why did you steal that?	11236983	sina lanpan e ni tan seme?
4980182	I wanted to steal it.	11236984	mi wile lanpan e ona.
5209321	They're stealing your car!	11236985	ona li lanpan e tomo tawa sina!
7967018	We didn't steal it.	11236988	jan mute li lanpan ala e ona.
8689912	He's stealing my change.	11236989	ona li lanpan e mani mi.
11250933	She looks at herself in the mirror.	11250950	ona li lukin e ona sama lon jasima.
1582783	A square has four angles.	7682678	leko li jo e kiki tu tu.
296449	He drew two squares on the blackboard.	11255693	ona li sitelen e leko tu lon sinpin sitelen.
2905079	I put a brick on top of the rubbish bin so the wind wouldn't tear it open.	11256002	mi pana e leko lon sewi pi poki jaki. ni la kon tawa li open ala e ona.
808047	How do magnets work?	11264183	kiwen taki li taki kepeken nasin seme?
7116746	The table was sticky with pancake syrup.	11264299	supa li taki tan telo suwi pi pan supa.
2698940	My whole body is sticky with sweat. I want to take a bath as quickly as possible in order to feel refreshed.	11264314	ale pi sijelo mi li taki tan telo sijelo. mi wile kama lon telo lon tenpo kama poka a. ni la mi ken pilin jaki ala sin.
8181805	Hedgehogs have very long tongues.	11264324	soweli kiki li jo e palisa uta pi suli mute.
9689166	These edges are quite jagged.	11264516	selo ni li kiki a.
715774	A little old woman foiled the robbery by whacking the thief on the head with her cane.	11272678	meli majuna lili li palisa e lawa pi jan lanpan li pini e lanpan.
10358497	"You like thin men, don't you? -- ""I like you the way you are."""	11277580	"jan pi moku lili li pona tawa sina anu seme? — ""sina pi nasin sina li pona tawa mi."""
10555685	"I'll have two double cheeseburgers, a small order of fries, a large soda, and an apple pie. ""Uh, could you, like, get less stuff?"""	11280165	"mi wile e pan tu ni: pan wan la sike soweli tu en ko jelo mani li lon. kin la mi wile e poki lili pi palisa kili ma e poki suli pi telo suwi e pan kili. ""a, sina ken ala ken, n, wile e ijo pi mute lili?"""
11048718	The sea, when it is calm, mirrors the sky.	11048701	selo pi telo suli li pona la, ona li jasima e sewi.
833213	The law, in its majestic equality, forbids the rich as well as the poor to sleep under bridges, to beg in the streets, and to steal bread.	11289447	nasin lawa pona la jan mani en jan pi mani ala li sama. ona li ken ala lape lon poka nasin. ona li ken ala wile e mani pi jan ante. ona li ken ala lanpan e pan.
2092928	If you don't know what kind of mushroom it is, better not take it.	11289448	sina sona ala e soko la o lanpan ala e ona.
5788545	Raccoons have become sentient.	11289461	kijetesantakalu li kama ken pilin.
5992359	Raccoons are very smart.	11289465	kijetesantakalu li sona mute a.
10728508	Raccoons are people too!	11289475	kijetesantakalu li jan kin a.
11077403	Raccoons are so big!	11289476	kijetesantakalu li suli a.
11254109	The last time I saw the raccoon, it was in my yard, peeking out from underneath the overturned wheelbarrow.	11289481	mi lukin e kijetesantakalu lon tenpo pini la ona li lon ma mi li lukin tan anpa poki.
9279934	I'm just a raccoon with a PC and a MIDI keyboard.	11289499	mi kijetesantakalu taso. mi jo e ilo sona e ilo kalama.
10020944	This is the first time I've ever seen a raccoon around here.	11289507	tenpo ni la mi lukin e kijetesantakalu lon tenpo nanpa wan.
11254924	If I say it was a raccoon, it was a raccoon. Leave it at that.	11289518	ona li kijetesantakalu. mi toki e ni la ona li kijetesantakalu. o awen e mi.
5788543	It was a movie about a talking raccoon.	11289525	sitelen tawa ni la kijetesantakalu li ken toki.
7085195	My pet raccoon can type faster than you.	11289530	tenpo pi sitelen sina la kijetesantakalu mi li ken sitelen kepeken tenpo lili.
8895441	I've never seen a raccoon in this area.	11289539	tenpo ale la mi lukin ala e kijetesantakalu lon ma ni.
8147201	The sea otter swam through the kelp forest.	11294354	kijetesantakalu telo li tawa lon telo pi kasi mute.
11309360	The square is full of bicycles.	11309386	ilo tawa mute mute pi sike tu li lon leko pi ma tomo.
11314824	The subway station is at the square.	11314836	tawa ala pi tomo tawa linja pi anpa ma li lon poka leko.
11363905	Did you look at yourself in the mirror?	11363909	sina lukin ala lukin e sama lon jasima?
11363905	Did you look at yourself in the mirror?	11363911	sina lukin e sama lon jasima anu seme?
6116192	This is sharp.	11394256	ona li kiki.
8184264	Wolverines are omnivores.	11394414	kijetesantakalu li moku e soweli e kasi.
9781320	Trauma is a thief.	11462779	tenpo pakala li lanpan.
11451287	Protect trans kids.	11462989	o awen e jan lili tonsi.
11502831	I took mushrooms.	11502833	mi moku e soko sona.
9312356	Those mushrooms are hallucinogenic.	11502843	soko ni li soko nasa.
9312356	Those mushrooms are hallucinogenic.	11502844	soko ni li soko sewi.
9312356	Those mushrooms are hallucinogenic.	11502845	soko ni li soko sona.
11502831	I took mushrooms.	11502867	mi moku e soko sewi.
11244476	Okay, this is epic.	11508113	pona. ni li epiku.
11534652	I waited for you because you had promised to come.	11534674	sina toki: sina kama. tan ni la mi awen wile luki e sina.
9096947	Thirty years have passed since then.	11535361	tan tenpo pini la, tenpo sike 30 li kama.
11541584	I had a long conversation with a mushroom.	11550245	mi toki pi tenpo mute tawa soko.
11566362	Mushrooms are wise.	11566364	soko li sona.
11593178	Cannabis is medicine.	11593179	kasi sona li misikeke.
3315096	Your room is bigger than mine.	11604909	tomo sina li suli ete tomo mi.
10549854	I love monkeys.	11609725	soweli enepi li pona tawa mi.
2396258	It's computer-generated.	11609749	ona li enepi.
2751449	I'm not talking to you, I am talking to the monkey.	11610235	mi toki ala tawa sina. mi toki tawa soweli enepi.
11112911	My sibling is nonbinary.	11661713	jan sama mi li tonsi.
10234004	Nonbinary people are real.	11661718	jan tonsi li lon.
11661986	Do you have Toki Pona: The Language of Good and the Toki Pona Dictionary or just the Toki Pona: The Language of Good?	11294407	sina jo e lipu pu e lipu ku anu jo e lipu pu taso?
11662405	"Could I get uhhhhhh... burger? ""Sir, we don't sell burgers here."""	11662004	"mi ken jo e... n n n n n... pan soweli anu seme? ""mije o, esun ni li pana ala e pan soweli."""
11662407	"Um, what's this? ""It's a bird?"" ""Oh."""	11661991	"n, seme ni? ""ni li waso?"" ""a."""
11662408	Um, what?	11661982	n, seme?
11662409	In between bad and good.	11662006	insa meso li pona en ike.
10118264	I'm transgender.	9815463	mi tonsi.
6243300	I don't think Tom is smarter than you.	11878441	mi sona ala e ni: sina la jan ton li sona.
6173236	We eat little meat and lots of vegetables.	11917595	mi mute li moke e moku lili tan soweli e kili mute.
11546681	I should act, yet fear inhibits me from doing so.	11917616	mi o pali. taso, pilin monsutali weka e ni.
6983327	They aren't coming.	11917619	on li kama ala.
4367294	Nobody is ferpect.	11919298	jan ala li pola ane.
3393185	Should I take this?	11937315	mi o lanpan ala lanpan e ni?
11965798	Umm, I don't know.	11662404	n... mi sona ala
11051257	Gay and trans people exist and are a part of the world and of our communities, so children should learn about their existence the same way they learn about the rest of the world.	11999611	jan lili ali o sona e ni: mije li ken olin e mije. meli li ken olin e meli. jan tonsi li lon.
7766812	He is a tranny.	9815454	ona li tonsi.
2155571	The cat maimed three squirrels.	12030294	kisa li utala e misa.
12044290	The meds help.	12044536	misikeke ni li pona.
12045764	Birds are awesome!	11661988	waso li epiku a!
12045765	Birds are really cool!	11661988	waso li epiku a!
12045766	Birds are epic!	11661988	waso li epiku a!
12045767	I love crows. They are very smart. They are awesome.	11661998	mi olin e waso sona pimeja. ona li sona mute. ona li epiku.
12045768	I love ravens. They are very smart. They are awesome.	11661998	mi olin e waso sona pimeja. ona li sona mute. ona li epiku.
12045769	I love corvids. They are very smart. They are awesome.	11661998	mi olin e waso sona pimeja. ona li sona mute. ona li epiku.
12057657	"The word ""kisa"" is an unpopular word."	12057656	"nimi ""kisa"" li suli kulupu ala."
12057658	"The word ""cat"" is an unpopular word."	12057656	"nimi ""kisa"" li suli kulupu ala."
4769856	Good cat!	12057660	kisa pona!
12057686	She bought a cat.	12057659	ona li esun e kisa.
12057687	He bought a cat.	12057659	ona li esun e kisa.
12057689	They bought a cat.	12057659	ona li esun e kisa.
647456	Bye!	12057701	omekapo!
6477067	Burn the witch!	12057707	o moli e jan usawi!
5643829	She's a witch.	12057710	ona li jan usawi.
5753598	Witches don't exist.	12057712	jan usawi li lon ala.
6841961	I'll brb.	12057723	mi wekama.
635677	God and the devil are really super.	12060370	jan sewi en jan anpa li epiku.
6529829	I don't like going to the dentist.	12062533	jan misikeke pi kiwen uta li ike tawa mi.
8790850	They'll get their vaccines.	12062568	ona li jo e misikeke ona.
12068117	I take medicine.	12068118	mi moku e misikeke.
11916590	Get a flu shot.	12099828	o jo e misikeke.
8212049	She was not willing to go to the doctor.	12099840	ona li wile ala tawa e jan misikeke.
12052772	Hedgehogs eat insects in the wild.	12105523	lon ma kasi la, soweli kiki li moku pipi.
12135762	We bought a square bed.	12135771	mi kama jo e supa lape leko lon esun.
10852619	One two three...	12180580	wan, tu, tu wan…
1484701	Wait! One! Two! Five--I mean, Three! Throw!	12180587	o awen! wan, tu, luka– ala ala, tu wan! o pana!
629482	"The shepherd counts the sheep: ""One, two, three, four, five ... one hundred."""	12180604	"jan lawa soweli li nanpa e soweli: ""wan, tu, tu wan, tu tu, luka … ale."""
10727908	A reading rainbow...	12181052	sike kule lukin…
12015785	My cat girl, you're so uwu.	12186483	meli soweli mi o, sina uwu mute a.
12196709	Someone took it.	12196710	jan li lanpan e ona.
12196739	Sometimes bad things happen to good people.	12196740	tenpo la ike il kama lon jan pona.
40434	Who cares?	12203909	jan seme li isipin?
51257	Get him!	10992961	o lanpan e ona!
71390	What's the name of the man whose car you borrowed?	12229755	sina lanpan e tomo tawa tan mije pi nimi seme?
1740652	She's playing Tetris.	12275480	ona li pali e musi leko.
1740667	He's playing Tetris.	12275480	ona li pali e musi leko.
8783917	This application is awesome.	12285011	ilo ni li epiku.
9387502	My elbow hurts.	12285044	meso luka mi li pakala.
34779	I hurt my elbow.	12285047	mi pakala e meso luka mi.
9387502	My elbow hurts.	12285048	meso luka mi li pilin pakala.
2111558	Seize him!	10992961	o lanpan e ona!
11892210	Seize him.	10992952	o lanpan e ona.
591194	Seize the day.	12285070	o lanpan e tenpo suno.
3135308	Seize the moment.	12285071	o lanpan e tenpo.
10042262	Seize the opportunity.	12285072	o lanpan e ken.
12292048	I'm average.	11662411	mi meso.
12141041	The thief climbed in through the window.	12314990	jan lanpan li tawa insa kepeken lupa lukin.
12318727	The thieves wore gloves.	12318811	jan lanpan li kepeken e len luka.
12318727	The thieves wore gloves.	12318842	jan lanpan li len e len luka.
11254256	Reality is fake.	12335156	lon li powe.
2111758	I'm ashamed.	12342635	mi apeja.
2202581	We're ashamed.	12342638	mi mute li apeja.
43545	The medicine decreased his pain.	12356661	misikeke li lili e pilin pakala.
296073	He is in the hospital at present.	12361454	tenpo ni la ona li lon tomo misikeke.
1977713	Pickpockets target tourists.	12364001	jan lanpan li alasa e jan tawa.
5685092	Miracles are ordinary.	12364024	pali sewi li meso.
4170301	That is ordinary-looking.	12364025	ni li lukin meso.
5748345	It was quite ordinary.	12364026	ona li meso mute.
9204899	We are ordinary mortals.	12364032	mi mute li jan meso pi ken moli.
9974556	It's very ordinary.	12364026	ona li meso mute.
72010	He is no ordinary man.	12364034	ona li mije meso ala.
295845	He is no ordinary student.	12364035	ona li jan meso ala pi kama sona.
310789	She is no ordinary singer.	12364036	ona li jan meso ala pi kalama musi.
313410	She is no ordinary student.	12364035	ona li jan meso ala pi kama sona.
631396	Ordinary people possess enormous power.	12364037	jan meso li jo e wawa suli a!
42556	It was ages ago.	12364728	ni li lon tenpo majuna.
12029173	Take your lithium.	12366339	o moku e misikeke sina pi pilin meso.
434860	He buys medicine.	12366450	ona li esun e misikeke.
434860	He buys medicine.	12366452	ona li kama jo esun e misikeke.
945922	Drink the medicine.	12368131	o moku e misikeke.
12371712	Is it true that raccoons eat crocodile eggs?	12372159	kijetesantakalu li moku e sike akesi; ni li lon ala lon?
12371531	All her money was stolen.	12372202	jan li lanpan e mani ale ona.
302334	He is old.	12373448	ona li majuna.
1335485	She is old.	12373448	ona li majuna.
302343	He grew old.	12373449	ona li kama majuna.
687706	Which is old?	12373450	seme li majuna?
1430734	I feel old.	12373451	mi pilin majuna.
2111255	They're old.	12373448	ona li majuna.
2203139	You're old.	12373453	sina majuna.
2245420	Everybody gets old.	12373454	jan ale li kama majuna.
3821793	It's old.	12373448	ona li majuna.
7327940	You are old.	12373453	sina majuna.
7839691	They are old.	12373448	ona li majuna.
8475584	He's old.	12373448	ona li majuna.
1771911	His house is small and moreover it's old.	12378503	tomo ona li lili li majuna kin.
4494576	This is a superb idea.	12382274	ni li pilin epiku.
5300867	Focus.	12399061	o isipin mute.
2111513	Stay focused.	12399063	o awen isipin mute.
1117133	A king lived in an old castle.	12400222	jan lawa li lon tomo suli majuna.
1117133	A king lived in an old castle.	12400223	jan lawa li lon tomo utala majuna.
9727618	"Trans people do not ""choose"" to be trans. Trans people ARE trans. Just like sexual orientation isn't a choice, neither is gender identity. Just a quick reminder to those stuck in the 12th century."	12401171	ijo pi kulupu kule en ijo tonsi li wile ala alasa e nasin ante. olin ona li ken ala ante. lawa sina li majuna ike la o kama sona e ni a!
10118268	I'm pansexual.	12401742	mi ken olin e meli e mije e tonsi.
5589616	Many transgender people experience gender dysphoria.	12402069	jan tonsi mute li pilin tonsi ike.
5589616	Many transgender people experience gender dysphoria.	12402070	jan tonsi mute li pilin ike tan ni: sijelo ona li ante tan pilin ona.
8869564	This place is wonderful.	12411411	ma ni li epiku.
8869564	This place is wonderful.	10184658	ni li epiku.
9346176	All mushrooms are edible, but some only once.	12412215	jan li ken moku e soko ali. taso tenpo wan taso la ona li ken moku e soko mute.
9168104	All mushrooms are edible, but some only one time.	12412215	jan li ken moku e soko ali. taso tenpo wan taso la ona li ken moku e soko mute.
11464799	All mushrooms are edible, but some only once in a lifetime.	12412215	jan li ken moku e soko ali. taso tenpo wan taso la ona li ken moku e soko mute.
12328115	This is an inedible mushroom.	12424896	ni li soko pi moku ala.
65659	What is your waist size?	12427338	meso sina li suli seme?
2259128	She has a small waist.	12427342	ona li jo e meso lili.
4853707	What's your waist size?	12427338	meso sina li suli seme?
5272702	She has a slender waist.	12427342	ona li jo e meso lili.
5754502	No items were taken.	12436369	ijo ala li kama lanpan.
10109597	We found some baby raccoons.	12438275	mi mute li lukin e kijetesantakalu lili.
9951057	Peaches are fuzzy.	12456813	kiwi pi lukin monsi li jo e selo sama soweli.
1115847	Many businesses were plundered during the riots.	12463147	jan li utala kulupu lon nasin la tomo esun mute li kama lanpan.
2246017	I need surgery.	12464861	mi wile e kipisi misikeke.
5667729	Tom sipped his hot chocolate.	12464974	jan ton li moku e telo suwi seli.
12401128	They use manipulative tactics.	12465941	ona mute li kepeken nasin powe.
315645	She weighs 120 pounds.	10185095	ona li meso.
6616377	Our problem is the opposite.	12468587	ike pi mi mute li jasima.
8742433	Many people don't like hospitals.	12468632	tomo misikeke li ike tawa jan mute.
7840667	Are you non-binary?	12494548	sina tonsi anu seme?
2245680	I detest hypocrisy.	12494631	pona powe li ike mute tawa mi.
9765646	Language reflects who we are.	12496901	toki li jasima e jan.
12496910	I drank the unicorn chocolate with water from the river.	12496914	mi moku e telo suwi pimeja epiku kepeken telo tan nasin telo.
12499421	I hate false righteousness.	12494631	pona powe li ike mute tawa mi.
10008999	Are you nonbinary?	12494548	sina tonsi anu seme?
12501234	I hate false simplicity.	12494631	pona powe li ike mute tawa mi.
10279420	Take your medication.	12520033	o moku e misikeke sina.
9817093	Normalcy doesn't exist.	12526083	meso li lon ala.
2182833	You're not normal.	12527588	sina meso ala.
36818	The thief ran away.	12529151	jan lanpan li tawa weka.
8529630	Do you think that you'll be arrested?	12532485	sina pilin ala pilin e ni: jan lawa li lanpan e sina?
8904216	You're an awesome teacher.	12532486	sina jan epiku pi pana sona.
8529631	Do you think you'll be arrested?	12532485	sina pilin ala pilin e ni: jan lawa li lanpan e sina?
8529627	Do you think that you'll get arrested?	12532485	sina pilin ala pilin e ni: jan lawa li lanpan e sina?
